time,seconds_elapsed,relativeAltitude,pressure
1672831907851637800,-0.5293623046875,0,990.4601287841797
1672831908852216800,0.471216796875,-0.03436279296875,990.4640960693359
1672831909852793000,1.47179296875,-0.0502166748046875,990.4658508300781
1672831910853374000,2.4723740234375,-0.0687103271484375,990.4680633544922
1672831911853951000,3.472950927734375,-0.1004180908203125,990.4718780517578
1672831912854529800,4.47352978515625,-0.1770477294921875,990.4808807373047
1672831913405569000,5.024569091796875,-0.2906646728515625,990.494384765625
1672831914406146000,6.02514599609375,-0.3012237548828125,990.4954528808594
1672831915406724000,7.02572412109375,-0.3804931640625,990.5049133300781
1672831916407522800,8.026522705078126,-0.4307098388671875,990.5109405517578
1672831917407873000,9.026873046875,-0.4676971435546875,990.5153656005859
1672831918408449000,10.027448974609374,-0.49676513671875,990.5184936523438
1672831919409025000,11.02802490234375,-0.53375244140625,990.5231475830078
1672831920409600000,12.02860009765625,-0.565460205078125,990.5268859863281
1672831921410179800,13.029179931640625,-0.5760345458984375,990.5278778076172
1672831922410755800,14.029755859375,-0.5865936279296875,990.5294036865234
1672831923411330800,15.030330810546875,-0.5892486572265625,990.5295562744141
1672831924411907800,16.030907958984375,-0.5892486572265625,990.5295562744141
1672831925412479000,17.03147900390625,-0.6051025390625,990.5313873291016
1672831926413065000,18.03206494140625,-0.610382080078125,990.5321502685547
1672831927413636900,19.032636962890624,-0.610382080078125,990.5321502685547
1672831928414208000,20.0332080078125,-0.6077423095703125,990.5316162109375
1672831929414792000,21.0337919921875,-0.59716796875,990.5304718017578
1672831930415363000,22.034363037109376,-0.5865936279296875,990.5291748046875
1672831931415937800,23.034937744140624,-0.5813140869140625,990.5286407470703
1672831932416518000,24.035517822265625,-0.5865936279296875,990.5291748046875
1672831933417096000,25.036095947265625,-0.591888427734375,990.52978515625
1672831934417673000,26.0366728515625,-0.5945281982421875,990.5301666259766
1672831935418245000,27.0372451171875,-0.59716796875,990.5304718017578
1672831936418823000,28.037822998046874,-0.5998077392578125,990.5308532714844
1672831937419404000,29.038404052734375,-0.5998077392578125,990.5308532714844
1672831938419975200,30.03897509765625,-0.5945281982421875,990.5302429199219
1672831939420557000,31.03955712890625,-0.5892486572265625,990.5295562744141
1672831940421128000,32.0401279296875,-0.5892486572265625,990.5295562744141
1672831941421714200,33.04071411132813,-0.591888427734375,990.5298614501953
1672831942422284800,34.041284912109376,-0.591888427734375,990.5300140380859
1672831943422857000,35.04185693359375,-0.610382080078125,990.5319213867188
1672831944423433000,36.04243286132812,-0.62359619140625,990.5335998535156
1672831945424009000,37.04300903320313,-0.62359619140625,990.5335998535156
1672831946424741000,38.0437412109375,-0.6130218505859375,990.5323791503906
1672831947425161000,39.044160888671875,-0.6077423095703125,990.5316925048828
1672831948425740000,40.044739990234376,-0.6051025390625,990.5315399169922
1672831949426314000,41.04531396484375,-0.583953857421875,990.5290222167969
1672831950426892000,42.04589208984375,-0.583953857421875,990.5290222167969
1672831951427468000,43.04646801757813,-0.583953857421875,990.5288696289062
1672831952428050000,44.0470498046875,-0.583953857421875,990.5290222167969
1672831953428618000,45.047617919921876,-0.591888427734375,990.52978515625
1672831954429195800,46.04819580078125,-0.591888427734375,990.52978515625
1672831955429774000,47.04877416992188,-0.5892486572265625,990.5297088623047
1672831956430351000,48.04935107421875,-0.5892486572265625,990.5297088623047
1672831957430925800,49.04992578125,-0.602447509765625,990.5310821533203
1672831958431500800,50.050500732421874,-0.6051025390625,990.5313110351562
1672831959432080100,51.051080078125,-0.6051025390625,990.5314636230469
1672831960432660000,52.05165991210937,-0.62359619140625,990.5336761474609
1672831961433229800,53.05222973632812,-0.628875732421875,990.5342864990234
1672831962433808000,54.05280786132813,-0.64208984375,990.5358123779297
1672831963434385200,55.05338525390625,-0.647369384765625,990.5364990234375
1672831964434961000,56.0539609375,-0.64208984375,990.5358123779297
1672831965435537000,57.054536865234375,-0.6500091552734375,990.5368804931641
1672831966436116000,58.055115966796876,-0.66058349609375,990.5380249023438
1672831967436694800,59.05569482421875,-0.6632232666015625,990.5382537841797
1672831968437267000,60.05626684570313,-0.6711578369140625,990.5391693115234
1672831969437840000,61.05683984375,-0.6817169189453125,990.5403900146484
1672831970438417000,62.0574169921875,-0.7081451416015625,990.5436706542969
1672831971438997000,63.0579970703125,-0.718719482421875,990.5448913574219
1672831972439570000,64.05856982421875,-0.7345733642578125,990.5466461181641
1672831973440149000,65.05914892578124,-0.7530670166015625,990.5488586425781
1672831974440728800,66.05972875976562,-0.7689208984375,990.5508422851562
1672831975441297200,67.06029711914063,-0.7847747802734375,990.5525970458984
1672831976441875000,68.060875,-0.7847747802734375,990.5525970458984
1672831977442452000,69.06145190429687,-0.7900543212890625,990.5531311035156
1672831978443032000,70.06203198242187,-0.78741455078125,990.5529022216797
1672831979443606800,71.06260668945312,-0.78741455078125,990.5529022216797
1672831980444387800,72.06338793945312,-0.77685546875,990.5516815185547
1672831981444759800,73.063759765625,-0.7662811279296875,990.5503082275391
1672831982445337000,74.06433715820313,-0.7530670166015625,990.5488586425781
1672831983445908000,75.06490795898438,-0.7266387939453125,990.5458831787109
1672831984446491000,76.06549096679687,-0.7266387939453125,990.5457305908203
1672831985447068000,77.06606787109375,-0.7266387939453125,990.545654296875
1672831986447641900,78.06664184570313,-0.710784912109375,990.5438232421875
1672831987448219100,79.06721923828125,-0.6949310302734375,990.5418395996094
1672831988448793900,80.0677939453125,-0.6817169189453125,990.5403900146484
1672831989449367000,81.06836694335938,-0.6526641845703125,990.537109375
