time,seconds_elapsed,relativeAltitude,pressure
1671363196756654600,-0.555345458984375,0,999.7166442871094
1671363197757226500,0.4452265625,0.00792694091796875,999.7157287597656
1671363198757802500,1.445802490234375,0.0158538818359375,999.7148132324219
1671363199758379500,2.446379638671875,0.06341552734375,999.7091674804688
1671363200758955500,3.44695556640625,0.06341552734375,999.7091674804688
1671363201759530500,4.447530517578125,0.05284881591796875,999.7104644775391
1671363202310484700,4.998484619140625,-0.0660552978515625,999.7246551513672
1671363203311059500,5.9990595703125,-0.0792694091796875,999.7261047363281
1671363204311636700,6.99963671875,-0.132110595703125,999.7325134277344
1671363205312208600,8.000208740234376,-0.1743927001953125,999.7374725341797
1671363206312787500,9.000787353515625,-0.208740234375,999.7416687011719
1671363207313367600,10.001367431640626,-0.2113800048828125,999.7419738769531
1671363208313943600,11.001943603515626,-0.22723388671875,999.7435760498047
1671363209314515700,12.002515625,-0.22723388671875,999.7435760498047
1671363210315100700,13.0031005859375,-0.221954345703125,999.7430419921875
1671363211315671800,14.003671875,-0.21666717529296875,999.7425079345703
1671363212316244500,15.004244384765625,-0.21666717529296875,999.7425079345703
1671363213316824600,16.004824462890625,-0.208740234375,999.7415924072266
1671363214317399600,17.005399658203125,-0.208740234375,999.7415924072266
1671363215317980400,18.00598046875,-0.21930694580078125,999.7428894042969
1671363216318556700,19.006556640625,-0.23252105712890625,999.7442626953125
1671363217319125800,20.007125732421876,-0.25101470947265625,999.7464752197266
1671363218319700500,21.007700439453124,-0.258941650390625,999.7475433349609
1671363219320278500,22.008278564453125,-0.26158905029296875,999.7478485107422
1671363220320857600,23.008857666015626,-0.258941650390625,999.7475433349609
1671363221321428500,24.009428466796876,-0.26158905029296875,999.7478485107422
1671363222322008600,25.010008544921874,-0.26422882080078125,999.7480010986328
1671363223322584600,26.01058447265625,-0.26422882080078125,999.7480773925781
1671363224323161600,27.01116162109375,-0.2747955322265625,999.7494506835938
1671363225323738600,28.011738525390626,-0.27744293212890625,999.7496795654297
1671363226324314600,29.012314697265627,-0.27744293212890625,999.7496795654297
1671363227324887600,30.012887451171874,-0.2695159912109375,999.7488403320312
1671363228325467600,31.013467529296875,-0.26686859130859375,999.7484588623047
1671363229326048500,32.014048583984376,-0.2695159912109375,999.7488403320312
1671363230326618600,33.01461865234375,-0.28008270263671875,999.7498321533203
1671363231327202600,34.01520263671875,-0.285369873046875,999.7505187988281
1671363232327771600,35.015771728515624,-0.2880096435546875,999.7508239746094
1671363233328351500,36.0163515625,-0.2880096435546875,999.7510528564453
1671363234328922600,37.016922607421876,-0.2880096435546875,999.7508239746094
1671363235329500700,38.01750073242187,-0.29593658447265625,999.7518157958984
1671363236330078700,39.01807861328125,-0.29857635498046875,999.7521209716797
1671363237330661600,40.01866162109375,-0.29857635498046875,999.7522735595703
1671363238331230700,41.019230712890625,-0.3197174072265625,999.7547912597656
1671363239331813600,42.01981372070313,-0.322357177734375,999.7549438476562
1671363240332380400,43.02038037109375,-0.3355712890625,999.7566223144531
1671363241332954600,44.02095458984375,-0.3355712890625,999.7566223144531
1671363242333677600,45.021677490234374,-0.322357177734375,999.7550964355469
1671363243334112800,46.02211279296875,-0.30915069580078125,999.7534942626953
1671363244334689500,47.022689453125,-0.30915069580078125,999.7534942626953
1671363245335265500,48.023265625,-0.31443023681640625,999.7541809082031
1671363246335839500,49.023839599609374,-0.32764434814453125,999.7557067871094
1671363247336415500,50.02441552734375,-0.3382110595703125,999.7570037841797
1671363248336992500,51.02499243164063,-0.36199188232421875,999.7598266601562
1671363249337573600,52.02557373046875,-0.36199188232421875,999.7598266601562
1671363250338146600,53.026146484375,-0.35406494140625,999.7589111328125
1671363251338726400,54.02672631835937,-0.35406494140625,999.7588348388672
1671363252339297500,55.02729760742187,-0.34613800048828125,999.7577667236328
1671363253339877600,56.027877685546876,-0.34613800048828125,999.7579193115234
1671363254340455400,57.02845532226563,-0.34613800048828125,999.7579193115234
1671363255341031400,58.029031494140625,-0.348785400390625,999.7581481933594
1671363256341613600,59.02961352539062,-0.348785400390625,999.7581481933594
1671363257342184400,60.03018432617188,-0.348785400390625,999.7581481933594
1671363258342763800,61.030763671875,-0.34613800048828125,999.7577667236328
1671363259343609600,62.031609619140625,-0.3514251708984375,999.7583770751953
1671363260343911700,63.03191162109375,-0.35671234130859375,999.7590637207031
1671363261344487700,64.03248779296875,-0.37784576416015625,999.7615814208984
1671363262345064700,65.03306469726563,-0.3831329345703125,999.7621917724609
1671363263345638400,66.03363842773437,-0.38842010498046875,999.7627258300781
1671363264346222600,67.03422265625,-0.38842010498046875,999.7628021240234
1671363265346793700,68.03479370117188,-0.38842010498046875,999.7628021240234
1671363266347368400,69.03536840820313,-0.38842010498046875,999.7628021240234
1671363267347947500,70.03594750976562,-0.40955352783203125,999.7652435302734
1671363268348526600,71.03652661132813,-0.430694580078125,999.7679901123047
1671363269349097500,72.03709741210938,-0.43862152099609375,999.7686767578125
1671363270349680600,73.0376806640625,-0.44126129150390625,999.7690582275391
1671363271350254600,74.03825463867187,-0.449188232421875,999.7700500488281
1671363272350832400,75.03883227539062,-0.449188232421875,999.7700500488281
1671363273351406600,76.03940649414062,-0.430694580078125,999.7679901123047
1671363274351984400,77.039984375,-0.430694580078125,999.7678375244141
1671363275352559600,78.0405595703125,-0.430694580078125,999.7679901123047
1671363276353132500,79.04113256835937,-0.42540740966796875,999.7673034667969
1671363277353709600,80.04170947265625,-0.4333343505859375,999.7681427001953
1671363278354373400,81.04237329101562,-0.44390869140625,999.7693634033203
