time,seconds_elapsed,bpm
1671363242129834000,44.817833984375,122.99999999999999
1671363352129834000,154.817833984375,129
1671363367129834000,169.817833984375,125.00000000000001
1671363374129834000,176.817833984375,125.00000000000001
1671363380129834000,182.817833984375,125.00000000000001
1671363383129834000,185.817833984375,124.00000000000001
1671363392129834000,194.817833984375,127
1671363394129834000,196.817833984375,127
1671363398129834000,200.817833984375,127
1671363405129834000,207.817833984375,129
1671363408129834000,210.817833984375,130
1671363417129834000,219.817833984375,128
1671363418129834000,220.817833984375,129
1671363427129834000,229.817833984375,127
1671363428129834000,230.817833984375,127
1671363435129834000,237.817833984375,125.00000000000001
1671363439129834000,241.817833984375,125.00000000000001
1671363447129834000,249.817833984375,122.99999999999999
1671363448129834000,250.817833984375,122.99999999999999
1671363453129834000,255.817833984375,122
1671363462129834000,264.817833984375,124.00000000000001
1671363463129834000,265.817833984375,122.99999999999999
1671363472129834000,274.817833984375,122.99999999999999
1671363473129834000,275.817833984375,122.99999999999999
1671363478129834000,280.817833984375,122.99999999999999
1671363483129834000,285.817833984375,119
1671363491129834000,293.817833984375,118
1671363493129834000,295.817833984375,119
1671363498129834000,300.817833984375,118
1671363503129834000,305.817833984375,116
1671363521129834000,323.817833984375,121
1671363524129834000,326.817833984375,119
1671363530129834000,332.817833984375,118
1671363536129834000,338.817833984375,118
1671363539129834000,341.817833984375,117
1671363546129834000,348.817833984375,119
1671363548129834000,350.817833984375,119
1671363557129834000,359.817833984375,118
1671363560129834000,362.817833984375,118
1671363566129834000,368.817833984375,120
1671363572129834000,374.817833984375,121
1671363573129834000,375.817833984375,121
1671363578129834000,380.817833984375,122.99999999999999
1671363583129834000,385.817833984375,127
