time,seconds_elapsed,z,y,x
1667915995792200700,0.03920068359375,-7.025511800006032,2.324200779952109,-6.435111373674869
1667915995802275600,0.049275634765625,-7.036179324492812,2.3164967814460393,-6.426227809995413
1667915995812350700,0.059350830078125,-7.038731931585073,2.3158840563751757,-6.423652406549453
1667915995822425600,0.069425537109375,-7.031276354882121,2.3208340799979865,-6.430028371322154
1667915995832500700,0.079500732421875,-7.012635367298126,2.329533665412664,-6.447216822010279
1667915995842576000,0.089575927734375,-6.985027813926338,2.339402440737188,-6.473559470012783
1667915995852650800,0.099650634765625,-6.953776935616135,2.3465086194805798,-6.504557250344753
1667915995862724900,0.109724853515625,-6.9260273434251545,2.347642299685627,-6.533689821326732
1667915995872799700,0.1197998046875,-6.909096666890382,2.342015691975504,-6.5536038975864646
1667915995882874600,0.12987451171875,-6.907522549441456,2.330341766925156,-6.5594222284764045
1667915995892949500,0.139949462890625,-6.923086029276251,2.3116301983229817,-6.549627979692817
1667915995903024600,0.150024658203125,-6.950669032728672,2.285008294987678,-6.529725009348988
1667915995913099800,0.160099853515625,-6.982962698090076,2.251476320002973,-6.506878971290588
1667915995923174700,0.170174560546875,-7.014355615219474,2.21358045072034,-6.486082266977429
1667915995933248800,0.180248779296875,-7.04381142680645,2.1733134683921933,-6.467751660516858
1667915995943323600,0.19032373046875,-7.073638409793377,2.1315618004642425,-6.449067418313026
1667915995953398800,0.200398681640625,-7.104666585263609,2.088971489755064,-6.428864003717899
1667915995963474000,0.210473876953125,-7.13480511841774,2.045875713741779,-6.409316422683
1667915995973548500,0.220548583984375,-7.15858229984641,2.0051114494159816,-6.395671343690156
1667915995983623700,0.230623779296875,-7.173980359986424,1.9698859683863819,-6.3893608453691
1667915995993698600,0.240698486328125,-7.18200759909749,1.940871763087064,-6.389222898203134
1667915996003772700,0.250772705078125,-7.186900631836056,1.9174759821914136,-6.390784156170487
1667915996013847600,0.26084765625,-7.1946730194032185,1.9001582060351967,-6.387210389336944
1667915996023922700,0.270922607421875,-7.212475218075514,1.8876017990618943,-6.370835008597374
1667915996033997800,0.280997802734375,-7.240247022098303,1.877298139451444,-6.342315016555785
1667915996044072700,0.29107275390625,-7.2709344213068485,1.8674558137424289,-6.310031872588396
1667915996054147800,0.30114794921875,-7.2970333236813545,1.8561128742121158,-6.2831947190672155
1667915996064222500,0.311222412109375,-7.311976625791192,1.8419627683065831,-6.269972833922505
1667915996074296800,0.321296875,-7.3113669694602486,1.824200609383732,-6.275872997877001
1667915996084371700,0.331371826171875,-7.2930679271817205,1.802459902218729,-6.303387027746439
1667915996094446600,0.341446533203125,-7.258102412262558,1.777620352255553,-6.350622241652012
1667915996104521700,0.351521728515625,-7.211002807435393,1.750468579827249,-6.411527668991685
1667915996114596600,0.3615966796875,-7.158817862167954,1.721622424571216,-6.477478104761243
1667915996124671700,0.371671630859375,-7.111037873861194,1.6911803784258663,-6.537846356484294
1667915996134745600,0.38174560546875,-7.073682833456993,1.6598175641737878,-6.586227817815542
1667915996144820700,0.39182080078125,-7.0471911323726175,1.627463108535856,-6.622601445966959
1667915996154896000,0.401895751953125,-7.029101348930597,1.593615637861192,-6.650000325024128
1667915996164970800,0.411970703125,-7.016183999690413,1.5585972237110137,-6.671905282840132
1667915996175045600,0.422045654296875,-7.0093106067895885,1.5216706378519533,-6.687635351413488
1667915996185120500,0.43212060546875,-7.009173828667402,1.4805686660043895,-6.696998223042487
1667915996195195600,0.442195556640625,-7.011817036652564,1.4336227904342114,-6.704441524785756
1667915996205269500,0.45226953125,-7.01258977459073,1.3803816141121088,-6.714798083627223
1667915996215344600,0.4623447265625,-7.008931252083182,1.321378221001476,-6.730469115489721
1667915996225419800,0.472419677734375,-7.001398518490791,1.2588802637733518,-6.7502616111963984
1667915996235494700,0.48249462890625,-6.991970764932036,1.1958353401869535,-6.7714628046572205
1667915996245569800,0.49256982421875,-6.987184115177392,1.1349347351528702,-6.78686787905991
1667915996255644700,0.502644775390625,-6.99440529860258,1.0775544131994246,-6.788781603726744
1667915996265719600,0.512719482421875,-7.014832585081457,1.024198086065054,-6.775952517291903
1667915996275793700,0.522793701171875,-7.044194288644194,0.9740602825857698,-6.752845197948813
1667915996285868500,0.53286865234375,-7.076372803193331,0.9256761178407817,-6.725953683891892
1667915996295943700,0.542943603515625,-7.107334343168139,0.8755391911443322,-6.699971101373434
1667915996306018600,0.5530185546875,-7.134874676522612,0.8208291113134473,-6.677588004651665
1667915996316093700,0.56309375,-7.155657936832308,0.7608255281843245,-6.662438950836658
1667915996326168800,0.5731689453125,-7.170061140716076,0.6965620225884019,-6.653977411961555
1667915996336242700,0.58324267578125,-7.183733107715844,0.630514190858975,-6.645812225684523
1667915996346317600,0.593317626953125,-7.201007483121752,0.5647731235237792,-6.633016456997394
1667915996356392700,0.603392822265625,-7.223030514359474,0.49931613382697104,-6.614294805392623
1667915996366467800,0.6134677734375,-7.246458736220002,0.4359892514940351,-6.59311290115416
1667915996376542500,0.62354248046875,-7.271466336226463,0.3770209662294015,-6.569170884552598
1667915996386617600,0.63361767578125,-7.303167880913615,0.32223033197559414,-6.536840978834032
1667915996396692500,0.6436923828125,-7.34208125667572,0.2693470291804522,-6.495511774101853
1667915996406766600,0.6537666015625,-7.3846449716389175,0.21601813804227857,-6.449087876579165
1667915996416841500,0.663841552734375,-7.43229227347672,0.16216264748042447,-6.395711091178655
1667915996426916600,0.67391650390625,-7.487099383941293,0.10850804065237753,-6.33260961509943
1667915996436991700,0.68399169921875,-7.547832961845398,0.05619324932703748,-6.26078648790419
