time,seconds_elapsed,z,y,x
1667915995792200700,0.03920068359375,-17.902908325195312,26.495590209960938,-24.250581741333008
1667915995802275600,0.049275634765625,-18.325851440429688,26.443029403686523,-24.164304733276367
1667915995812350700,0.059350830078125,-17.853836059570312,26.275224685668945,-23.955106735229492
1667915995822425600,0.069425537109375,-18.105575561523438,26.479942321777344,-23.942472457885742
1667915995832500700,0.079500732421875,-17.906509399414062,26.50324249267578,-23.517911911010742
1667915995842576000,0.089575927734375,-17.730606079101562,26.4512996673584,-23.570356369018555
1667915995852650800,0.099650634765625,-17.833877563476562,26.68328285217285,-23.779272079467773
1667915995862724900,0.109724853515625,-17.587509155273438,26.818437576293945,-23.646120071411133
1667915995872799700,0.1197998046875,-17.614395141601562,26.8247013092041,-23.631723403930664
1667915995882874600,0.12987451171875,-17.555068969726562,27.01020050048828,-23.130456924438477
1667915995892949500,0.139949462890625,-17.719467163085938,26.91168975830078,-23.40410804748535
1667915995903024600,0.150024658203125,-17.505874633789062,26.89203643798828,-23.209962844848633
1667915995913099800,0.160099853515625,-17.804550170898438,27.08209991455078,-22.8083438873291
1667915995923174700,0.170174560546875,-17.973129272460938,26.712032318115234,-22.78721809387207
1667915995933248800,0.180248779296875,-18.012832641601562,26.93763542175293,-22.365415573120117
1667915995943323600,0.19032373046875,-18.173019409179688,27.019811630249023,-22.333513259887695
1667915995953398800,0.200398681640625,-18.827163696289062,27.045318603515625,-22.100187301635742
1667915995963474000,0.210473876953125,-19.085647583007812,26.869964599609375,-21.949277877807617
1667915995973548500,0.220548583984375,-18.971694946289062,26.766481399536133,-21.802114486694336
1667915995983623700,0.230623779296875,-19.301528930664062,26.776304244995117,-21.992555618286133
1667915995993698600,0.240698486328125,-19.371505737304688,26.77020263671875,-21.956403732299805
1667915996003772700,0.250772705078125,-19.357955932617188,26.695886611938477,-21.817392349243164
1667915996013847600,0.26084765625,-19.417556762695312,26.70612907409668,-21.90412712097168
1667915996023922700,0.270922607421875,-20.054580688476562,26.594579696655273,-21.859102249145508
1667915996033997800,0.280997802734375,-19.784835815429688,26.76144790649414,-21.97303581237793
1667915996044072700,0.29107275390625,-20.049819946289062,26.819551467895508,-21.80768394470215
1667915996054147800,0.30114794921875,-19.985488891601562,26.623531341552734,-21.75105094909668
1667915996064222500,0.311222412109375,-20.126358032226562,26.624134063720703,-21.720590591430664
1667915996074296800,0.321296875,-20.093948364257812,26.733978271484375,-21.798059463500977
1667915996084371700,0.331371826171875,-19.974288940429688,26.83098793029785,-22.18718910217285
1667915996094446600,0.341446533203125,-19.985366821289062,26.695512771606445,-22.415231704711914
1667915996104521700,0.351521728515625,-19.401565551757812,26.805402755737305,-22.727460861206055
1667915996114596600,0.3615966796875,-19.684310913085938,26.49567413330078,-22.777036666870117
1667915996124671700,0.371671630859375,-19.274703979492188,26.495559692382812,-23.320833206176758
1667915996134745600,0.38174560546875,-18.915969848632812,26.306135177612305,-23.549612045288086
1667915996144820700,0.39182080078125,-18.767196655273438,26.101526260375977,-23.923681259155273
1667915996154896000,0.401895751953125,-18.620437622070312,26.318321228027344,-23.76105308532715
1667915996164970800,0.411970703125,-18.566726684570312,26.09283447265625,-24.06495475769043
1667915996175045600,0.422045654296875,-18.475021362304688,25.806594848632812,-24.18343162536621
1667915996185120500,0.43212060546875,-18.555313110351562,25.84787940979004,-24.23329734802246
1667915996195195600,0.442195556640625,-18.935531616210938,25.547409057617188,-24.376306533813477
1667915996205269500,0.45226953125,-18.977188110351562,25.443653106689453,-24.45433235168457
1667915996215344600,0.4623447265625,-18.921920776367188,25.06035804748535,-24.48435401916504
1667915996225419800,0.472419677734375,-18.561203002929688,25.351011276245117,-24.7912540435791
1667915996235494700,0.48249462890625,-18.773788452148438,25.14251708984375,-25.03214454650879
1667915996245569800,0.49256982421875,-19.006484985351562,24.821958541870117,-25.453584671020508
1667915996255644700,0.502644775390625,-19.121627807617188,24.668109893798828,-25.58143424987793
1667915996265719600,0.512719482421875,-19.434799194335938,24.335758209228516,-25.589387893676758
1667915996275793700,0.522793701171875,-19.590164184570312,24.408456802368164,-25.7126522064209
