time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1667915995792200700,0.03920068359375,-1.487597267258736,0.32545003847309845,0.5947390711137369,-0.7415649407382459,-0.7102723797265451,0.18942241651417632,-0.23927930107910855
1667915995802275600,0.049275634765625,-1.4938685927405708,0.32534868502540126,0.5973355292788662,-0.7401213630470532,-0.7084740921409023,0.1881566423517127,-0.2384707530363823
1667915995812350700,0.059350830078125,-1.500079671042978,0.32579664223868043,0.599605656957254,-0.7397411643121854,-0.7066459044893146,0.18703231821641764,-0.23840645427554216
1667915995822425600,0.069425537109375,-1.5059441534630795,0.32681875085247897,0.601420513590871,-0.7407629100308014,-0.7048323749624618,0.186263727681119,-0.23892594504899567
1667915995832500700,0.079500732421875,-1.511080119737953,0.32838948713229554,0.6026393017539798,-0.7434150834928028,-0.703115040536109,0.18605229567431114,-0.23983908860667189
1667915995842576000,0.089575927734375,-1.5153803835677053,0.3303280798046493,0.6033150874271794,-0.7474133109189257,-0.7015328863756207,0.1864029044148878,-0.24087520322097483
1667915995852650800,0.099650634765625,-1.5189514811405362,0.33229419019759787,0.6036741132685345,-0.7520319983917952,-0.7000868161132823,0.18718068499972865,-0.24162145613412905
1667915995862724900,0.109724853515625,-1.5220090101901598,0.33389479657486454,0.6040192875903099,-0.7562574054969334,-0.6987774091641801,0.18810938151885442,-0.24174051365918145
1667915995872799700,0.1197998046875,-1.5246121014435532,0.3347802077590256,0.604571139296781,-0.758998538839586,-0.6976816220505843,0.1888287730372993,-0.24114962535322254
1667915995882874600,0.12987451171875,-1.5266798365754974,0.33475434674941934,0.6054090085447996,-0.759555416860933,-0.6968970809046925,0.18908698160636445,-0.23992392377557895
1667915995892949500,0.139949462890625,-1.5283114863376406,0.3337178393688252,0.606625739905044,-0.7576856434094327,-0.6964081317191201,0.1888206650341619,-0.2379600813725864
1667915995903024600,0.150024658203125,-1.5296588849355555,0.3318928745091946,0.6081530980278129,-0.7541819248842708,-0.6960856159346801,0.18831254788845325,-0.235167618013179
1667915995913099800,0.160099853515625,-1.530718922459121,0.32963705743055005,0.6097878301793692,-0.7501207584441044,-0.6958382325785277,0.18790260910494783,-0.23165300451880028
1667915995923174700,0.170174560546875,-1.5313384128710334,0.3272597960317095,0.6112988016869151,-0.7462880382283053,-0.695662641653999,0.1877988639522449,-0.22768449752377365
1667915995933248800,0.180248779296875,-1.5315278187633095,0.3248613472002638,0.6126369205775661,-0.7427893788600045,-0.695564890397658,0.1879645055911789,-0.22347167808506266
1667915995943323600,0.19032373046875,-1.5315034457435224,0.32237520651621715,0.6139237978942261,-0.739244111844297,-0.6955234473911759,0.18819943306694875,-0.21910776713912133
1667915995953398800,0.200398681640625,-1.5315911743315327,0.31980792752906684,0.6152845863337315,-0.7355041910221783,-0.6954581976009113,0.18837647773993133,-0.21466057249093212
1667915995963474000,0.210473876953125,-1.5321770822125635,0.31730369581125695,0.616796818226889,-0.7318844503106771,-0.6952233653314855,0.18853260541954525,-0.21016499187093368
1667915995973548500,0.220548583984375,-1.533575719538918,0.31523103293427973,0.6183983018447378,-0.7291717559104235,-0.6946723444276871,0.1887942553108866,-0.20591658574030258
1667915995983623700,0.230623779296875,-1.5359539129618287,0.3137926039540456,0.6200576895071834,-0.7276140263015947,-0.6937575946563964,0.1891110584855984,-0.20224846517350648
